age,gender,split,final
50,Male,,38:59
25,Male,,39:00
44,Male,,39:03
42,Female,,39:03
55,Male,,39:06
28,Male,,39:07
32,Female,,39:07
20,Male,,39:07
33,Female,,39:08
30,Female,,39:08
35,Male,,39:12
20,Female,,39:16
41,Male,,39:17
34,Male,,39:20
35,Male,,39:20
35,Female,,39:22
51,Female,,39:24
44,Male,,39:25
23,Female,,39:25
43,Male,,39:27
49,Male,,39:28
40,Male,,39:29
31,Female,,39:35
14,Male,,39:36
35,Male,,39:37
39,Male,,39:42
23,Male,,39:43
53,Male,,39:43
65,Male,,39:43
60,Male,,39:44
31,Female,,39:44
54,Female,,39:45
32,Male,,39:45
40,Female,,39:45
42,Female,,39:46
25,Female,,39:46
41,Male,,39:47
60,Male,,39:47
29,Male,,39:47
41,Female,,39:48
36,Female,,39:48
14,Male,,39:48
15,Female,,39:50
60,Male,,39:52
48,Male,,39:52
17,Female,,39:55
30,Male,,39:55
32,Male,,39:56
36,Male,,39:57
30,Female,,39:59
45,Male,,40:00
47,Male,,40:00
37,Male,,40:02
17,Male,,40:07
30,Female,,40:07
56,Male,,40:09
42,Male,,40:10
31,Male,,40:11
52,Male,,40:12
30,Male,,40:15
44,Female,,40:16
35,Male,,40:17
29,Male,,40:17
44,Male,,40:19
40,Male,,40:19
41,Male,,40:21
42,Male,,40:21
26,Female,,40:22
29,Male,,40:24
22,Male,,40:24
19,Male,,40:24
15,Male,,40:25
15,Male,,40:26
42,Male,,40:27
33,Female,,40:27
41,Male,,40:28
,Female,,40:31
43,Male,,40:31
18,Male,,40:34
31,Female,,40:37
27,Female,,40:37
22,Male,,40:38
34,Male,,40:41
23,Male,,40:42
23,Female,,40:43
42,Female,,40:43
45,Male,,40:43
26,Male,,40:45
24,Male,,40:46
40,Female,,40:46
29,Male,,40:47
61,Male,,40:47
29,Male,,40:47
53,Male,,40:48
41,Female,,40:48
46,Male,,40:50
27,Male,,40:50
60,Male,,40:52
17,Male,,40:53
37,Male,,40:54
30,Male,,40:57
19,Male,,40:58
28,Male,,41:02
43,Male,,41:03
32,Female,,41:03
37,Male,,41:03
32,Male,,41:08
26,Female,,41:09
49,Male,,41:09
36,Male,,41:09
32,Female,,41:12
31,Male,,41:12
38,Male,,41:13
36,Male,,41:18
37,Female,,41:19
64,Male,,41:20
52,Male,,41:20
58,Female,,41:20
24,Female,,41:21
36,Male,,41:23
44,Female,,41:24
14,Male,,41:24
15,Male,,41:24
48,Male,,41:25
37,Female,,41:26
53,Male,,41:29
32,Male,,41:29
40,Male,,41:29
19,Male,,41:31
24,Male,,41:32
42,Male,,41:32
45,Male,,41:34
51,Male,,41:34
25,Female,,41:36
16,Female,,41:36
41,Female,,41:37
69,Male,,41:38
29,Female,,41:39
51,Male,,41:40
34,Female,,41:41
15,Female,,41:41
44,Male,,41:41
18,Male,,41:42
38,Male,,41:44
19,Male,,41:45
53,Male,,41:47
42,Male,,41:47
49,Male,,41:47
26,Female,,41:48
42,Female,,41:51
18,Female,,41:51
21,Male,,41:55
46,Male,,41:57
38,Male,,41:58
15,Female,,41:58
30,Male,,41:58
46,Male,,41:58
41,Female,,41:59
37,Male,,42:00
22,Male,,42:01
40,Female,,42:01
28,Female,,42:04
17,Female,,42:08
50,Male,,42:09
35,Male,,42:09
41,Male,,42:12
29,Male,,42:12
34,Female,,42:13
29,Female,,42:14
51,Male,,42:15
47,Male,,42:15
37,Male,,42:15
30,Male,,42:18
50,Male,,42:18
21,Male,,42:19
27,Male,,42:22
40,Male,,42:22
42,Male,,42:22
18,Male,,42:26
34,Male,,42:26
32,Male,,42:27
34,Female,,42:28
19,Male,,42:28
52,Female,,42:29
33,Male,,42:29
30,Male,,42:30
42,Male,,42:31
33,Male,,42:31
48,Female,,42:31
35,Male,,42:31
56,Male,,42:32
33,Male,,42:34
48,Female,,42:34
41,Male,,42:35
29,Male,,42:35
25,Male,,42:36
45,Male,,42:38
27,Female,,42:39
63,Female,,42:40
36,Male,,42:40
35,Male,,42:41
29,Female,,42:42
37,Male,,42:42
62,Female,,42:42
41,Male,,42:43
36,Male,,42:44
44,Female,,42:44
25,Female,,42:44
40,Male,,42:45
17,Male,,42:46
52,Female,,42:46
31,Male,,42:46
57,Female,,42:47
56,Male,,42:47
16,Male,,42:48
37,Female,,42:48
31,Male,,42:50
21,Male,,42:50
21,Male,,42:53
26,Male,,42:53
40,Male,,42:56
38,Male,,42:56
58,Male,,42:58
35,Male,,42:59
37,Female,,43:00
53,Male,,43:01
33,Female,,43:01
24,Female,,43:02
28,Male,,43:03
40,Male,,43:03
24,Male,,43:04
24,Female,,43:05
20,Male,,43:05
43,Male,,43:07
35,Male,,43:08
20,Male,,43:09
32,Male,,43:09
55,Male,,43:09
28,Female,,43:10
28,Male,,43:11
50,Female,,43:11
35,Female,,43:12
21,Female,,43:13
56,Female,,43:13
29,Male,,43:14
42,Male,,43:14
37,Male,,43:14
35,Male,,43:15
63,Male,,43:15
58,Female,,43:16
59,Male,,43:16
23,Female,,43:16
45,Male,,43:16
41,Female,,43:20
56,Female,,43:21
17,Female,,43:21
16,Male,,43:25
44,Male,,43:26
14,Male,,43:26
13,Male,,43:27
42,Male,,43:27
51,Male,,43:28
40,Female,,43:31
39,Male,,43:31
31,Female,,43:32
38,Female,,43:32
28,Female,,43:32
38,Male,,43:33
23,Male,,43:34
18,Female,,43:34
39,Male,,43:34
34,Male,,43:35
25,Female,,43:36
35,Male,,43:36
33,Male,,43:37
40,Female,,43:38
40,Male,,43:38
33,Female,,43:38
28,Male,,43:38
41,Male,,43:39
31,Male,,43:40
49,Male,,43:41
59,Male,,43:41
15,Male,,43:45
31,Male,,43:45
54,Male,,43:45
41,Male,,43:49
15,Male,,43:52
52,Male,,43:52
55,Male,,43:53
16,Male,,43:55
36,Male,,43:55
25,Female,,43:56
25,Female,,43:56
62,Male,,43:56
40,Female,,43:57
30,Female,,43:58
24,Male,,43:58
55,Male,,43:59
28,Female,,43:59
36,Female,,44:01
30,Male,,44:02
73,Male,,44:02
23,Male,,44:02
51,Male,,44:02
26,Male,,44:03
38,Female,,44:04
54,Female,,44:07
68,Male,,44:08
20,Male,,44:09
40,Female,,44:09
31,Male,,44:10
54,Male,,44:10
60,Male,,44:12
26,Female,,44:12
16,Female,,44:14
38,Male,,44:15
30,Male,,44:16
14,Female,,44:16
15,Female,,44:16
27,Male,,44:17
57,Male,,44:17
26,Male,,44:18
21,Male,,44:19
53,Male,,44:20
23,Male,,44:20
68,Male,,44:21
36,Male,,44:22
21,Male,,44:23
32,Female,,44:25
10,Male,,44:25
25,Male,,44:26
48,Male,,44:27
23,Male,,44:27
48,Male,,44:27
45,Male,,44:29
55,Male,,44:30
30,Male,,44:31
56,Male,,44:31
24,Male,,44:32
61,Male,,44:32
32,Female,,44:33
29,Male,,44:35
,,,44:36:00
37,Male,,44:37
23,Male,,44:38
15,Female,,44:38
28,Male,,44:38
25,Male,,44:38
41,Female,,44:39
22,Female,,44:40
25,Female,,44:41
49,Male,,44:41
27,Female,,44:41
36,Male,,44:42
33,Male,,44:43
30,Male,,44:44
20,Female,,44:45
57,Male,,44:45
17,Male,,44:45
22,Male,,44:46
18,Male,,44:47
,,,44:47:00
33,Male,,44:47
57,Male,,44:48
39,Male,,44:49
30,Male,,44:49
17,Female,,44:49
57,Male,,44:49
55,Male,,44:50
23,Female,,44:50
28,Male,,44:51
62,Male,,44:51
74,Male,,44:52
53,Male,,44:52
40,Female,,44:53
58,Male,,44:53
52,Female,,44:53
16,Male,,44:55
35,Female,,44:56
31,Male,,44:58
18,Male,,44:58
33,Male,,44:59
46,Male,,44:59
13,Male,,44:59
34,Male,,44:59
45,Female,,45:01
24,Male,,45:02
37,Male,,45:02
42,Male,,45:04
29,Female,,45:04
35,Male,,45:05
28,Female,,45:05
44,Male,,45:05
31,Male,,45:07
43,Male,,45:07
24,Female,,45:07
40,Female,,45:07
58,Male,,45:09
35,Male,,45:09
44,Male,,45:09
40,Male,,45:10
16,Male,,45:10
34,Male,,45:11
30,Male,,45:12
45,Male,,45:12
16,Male,,45:12
56,Male,,45:13
33,Female,,45:13
28,Male,,45:14
47,Female,,45:14
31,Female,,45:14
44,Male,,45:14
40,Male,,45:16
34,Female,,45:17
15,Male,,45:18
54,Male,,45:18
33,Female,,45:18
28,Male,,45:19
51,Female,,45:21
26,Male,,45:21
15,Male,,45:22
31,Female,,45:22
21,Male,,45:22
25,Male,,45:23
34,Female,,45:24
60,Male,,45:24
54,Male,,45:25
21,Male,,45:25
49,Female,,45:25
33,Female,,45:28
47,Male,,45:28
45,Female,,45:28
23,Female,,45:29
44,Male,,45:29
24,Female,,45:31
59,Male,,45:31
38,Male,,45:33
25,Female,,45:34
49,Male,,45:34
14,Male,,45:34
41,Female,,45:35
34,Female,,45:35
30,Male,,45:35
33,Male,,45:35
70,Female,,45:35
33,Female,,45:37
32,Female,,45:37
20,Male,,45:38
58,Male,,45:39
33,Male,,45:40
10,Male,,45:40
52,Male,,45:41
54,Male,,45:42
28,Female,,45:43
56,Male,,45:43
40,Female,,45:44
19,Male,,45:44
37,Male,,45:45
52,Female,,45:45
34,Male,,45:45
24,Male,,45:46
62,Male,,45:47
38,Male,,45:47
62,Male,,45:47
15,Female,,45:48
29,Male,,45:48
52,Female,,45:48
28,Female,,45:49
23,Male,,45:49
26,Male,,45:50
27,Male,,45:51
36,Male,,45:52
21,Male,,45:53
59,Male,,45:53
34,Female,,45:54
38,Female,,45:54
27,Female,,45:54
36,Female,,45:55
36,Female,,45:56
28,Female,,45:56
52,Male,,45:58
21,Male,,45:59
16,Male,,45:59
31,Female,,46:00
30,Male,,46:00
48,Male,,46:01
33,Male,,46:02
35,Male,,46:02
23,Female,,46:03
40,Male,,46:04
33,Male,,46:04
41,Male,,46:05
23,Male,,46:06
65,Male,,46:06
40,Male,,46:08
43,Female,,46:08
60,Male,,46:09
27,Female,,46:09
39,Male,,46:09
29,Male,,46:09
37,Male,,46:10
20,Female,,46:11
34,Female,,46:11
33,Male,,46:11
67,Female,,46:13
56,Male,,46:15
21,Female,,46:15
38,Female,,46:15
14,Male,,46:16
35,Male,,46:17
17,Male,,46:18
26,Female,,46:19
46,Male,,46:19
34,Male,,46:20
21,Female,,46:21
65,Male,,46:21
56,Male,,46:22
52,Female,,46:23
24,Female,,46:24
25,Male,,46:24
35,Male,,46:25
35,Male,,46:25
46,Male,,46:25
39,Male,,46:26
44,Male,,46:26
42,Male,,46:26
47,Male,,46:26
13,Male,,46:28
27,Female,,46:28
43,Male,,46:29
22,Female,,46:29
28,Male,,46:29
43,Female,,46:30
52,Male,,46:31
59,Male,,46:32
32,Female,,46:32
56,Male,,46:32
54,Male,,46:33
14,Male,,46:33
28,Male,,46:34
47,Male,,46:34
20,Female,,46:34
18,Female,,46:35
17,Female,,46:36
54,Male,,46:36
59,Male,,46:37
15,Male,,46:37
52,Male,,46:39
18,Male,,46:40
31,Male,,46:40
36,Male,,46:41
15,Male,,46:41
39,Male,,46:42
30,Female,,46:42
74,Male,,46:42
44,Female,,46:43
52,Male,,46:45
36,Male,,46:45
40,Female,,46:45
20,Male,,46:45
24,Female,,46:47
15,Male,,46:47
23,Male,,46:47
50,Male,,46:47
36,Male,,46:48
40,Female,,46:50
32,Female,,46:50
61,Female,,46:51
15,Male,,46:51
37,Female,,46:51
13,Male,,46:52
23,Male,,46:53
59,Male,,46:57
37,Male,,46:57
53,Male,,46:57
50,Female,,46:57
36,Male,,46:58
21,Female,,46:58
30,Male,,46:58
57,Male,,47:01
27,Female,,47:01
36,Female,,47:02
62,Female,,47:02
37,Male,,47:05
39,Male,,47:05
46,Male,,47:05
47,Female,,47:05
39,Male,,47:06
40,Male,,47:06
33,Female,,47:06
55,Female,,47:07
37,Male,,47:08
53,Male,,47:08
52,Male,,47:10
43,Male,,47:10
25,Male,,47:11
23,Male,,47:12
42,Male,,47:13
37,Female,,47:13
58,Female,,47:13
44,Male,,47:14
42,Male,,47:15
30,Male,,47:15
25,Male,,47:15
25,Female,,47:17
55,Male,,47:17
57,Female,,47:18
27,Female,,47:18
49,Male,,47:20
25,Female,,47:20
20,Female,,47:21
44,Male,,47:22
59,Male,,47:24
38,Female,,47:24
46,Female,,47:24
27,Female,,47:26
44,Female,,47:26
19,Female,,47:26
25,Male,,47:27
29,Male,,47:27
29,Female,,47:28
33,Male,,47:29
25,Male,,47:30
16,Male,,47:30
46,Male,,47:31
30,Male,,47:31
42,Male,,47:31
54,Male,,47:31
51,Male,,47:33
37,Male,,47:33
42,Male,,47:34
41,Male,,47:34
36,Male,,47:35
60,Male,,47:35
57,Male,,47:37
31,Female,,47:37
45,Male,,47:37
31,Male,,47:38
33,Male,,47:38
50,Female,,47:39
39,Female,,47:39
15,Male,,47:40
15,Male,,47:41
43,Male,,47:42
64,Female,,47:42
27,Male,,47:42
17,Male,,47:43
19,Female,,47:43
19,Female,,47:43
55,Male,,47:44
39,Male,,47:44
68,Female,,47:44
46,Female,,47:45
17,Male,,47:46
40,Female,,47:47
26,Female,,47:47
24,Female,,47:47
42,Female,,47:47
31,Female,,47:48
29,Female,,47:48
27,Male,,47:48
35,Female,,47:49
58,Male,,47:50
23,Male,,47:50
27,Male,,47:51
27,Male,,47:51
55,Male,,47:51
50,Male,,47:52
43,Male,,47:53
24,Female,,47:54
65,Female,,47:54
12,Male,,47:55
57,Male,,47:55
12,Male,,47:55
14,Male,,47:55
67,Male,,47:56
56,Male,,47:56
41,Male,,47:56
15,Male,,47:57
