age,gender,split,final
51,M,,16:46:34
53,F,,16:48:10
57,M,,16:48:57
43,F,,16:53:06
55,F,,16:54:30
44,F,,16:55:25
44,M,,16:56:08
49,M,,16:57:19
47,M,,16:57:37
48,M,,16:57:41
51,M,,16:58:36
31,M,,16:59:53
49,F,,16:59:54
34,M,,16:59:55
54,F,,16:59:56
32,F,,16:59:57
57,M,,17:00:02
48,F,,17:00:04
59,F,,17:00:08
52,M,,17:00:18
49,M,,17:00:24
51,M,,17:00:27
39,F,,17:01:25
45,M,,17:01:44
52,F,,17:02:05
59,M,,17:03:42
63,M,,17:06:24
67,M,,17:07:00
31,F,,17:11:59
52,M,,17:12:43
37,M,,17:13:11
51,M,,17:13:52
33,M,,17:14:22
44,M,,17:14:55
42,M,,17:16:44
57,F,,17:16:45
41,F,,17:18:12
50,M,,17:19:10
38,M,,17:20:09
43,M,,17:20:42
47,F,,17:21:23
34,M,,17:21:24
48,M,,17:21:34
42,M,,17:22:00
36,M,,17:22:38
49,F,,17:23:56
44,M,,17:23:57
43,M,,17:24:25
26,M,,17:25:58
20,M,,17:27:33
45,M,,17:27:38
43,F,,17:27:41
40,F,,17:29:15
40,F,,17:33:25
45,M,,17:34:17
67,F,,17:34:18
44,M,,17:37:30
44,M,,17:37:31
29,M,,17:37:31
37,M,,17:39:42
55,M,,17:41:05
30,M,,17:43:08
44,M,,17:43:11
44,M,,17:43:11
59,M,,17:43:33
50,M,,17:44:20
48,F,,17:45:08
54,M,,17:45:14
51,F,,17:45:37
66,M,,17:46:12
42,F,,17:46:47
54,M,,17:47:24
63,M,,17:48:27
43,M,,17:49:47
48,M,,17:49:48
35,F,,17:49:57
33,M,,17:53:05
33,M,,17:54:51
45,M,,17:57:26
53,M,,17:57:44
42,M,,18:01:22
56,M,,18:01:22
42,M,,18:04:39
69,M,,18:04:49
48,M,,18:05:30
51,M,,18:08:20
54,M,,18:12:02
58,F,,18:13:02
42,F,,18:15:06
44,M,,18:15:26
33,M,,18:15:46
43,M,,18:17:08
63,M,,18:18:07
55,M,,18:20:26
40,F,,18:21:37
52,M,,18:21:38
39,M,,18:22:06
38,M,,18:24:42
47,M,,18:25:25
32,M,,18:26:24
65,F,,18:28:27
42,F,,18:28:27
45,F,,18:28:28
60,M,,18:28:29
57,M,,18:28:31
48,M,,18:28:38
38,F,,18:30:50
63,M,,18:33:41
47,M,,18:36:15
43,M,,18:36:39
52,M,,18:38:04
51,M,,18:38:04
54,M,,18:38:06
53,M,,18:42:45
50,F,,18:45:03
52,F,,18:47:37
51,M,,18:49:08
29,M,,18:50:49
46,M,,18:57:13
33,M,,18:57:13
36,M,,18:58:10
35,M,,19:05:34
60,M,,19:13:08
53,M,,19:26:56
44,M,,19:27:32
31,M,,19:31:24
62,M,,19:38:15
55,M,,19:42:57
30,M,,19:47:21
60,F,,19:49:03
59,M,,19:50:34
45,M,,19:50:35
