age,gender,split,final
36,M,,26:13.8
35,F,,27:13.5
34,M,,29:14.3
75,M,,30:24.4
42,M,,31:29.2
43,F,,32:11.4
16,M,,32:32.5
40,F,,33:26.9
27,F,,34:09.3
57,F,,35:10.2
47,F,,35:11.7
43,F,,35:20.0
24,F,,35:20.5
14,M,,36:28.6
12,M,,36:30.5
7,M,,37:16.0
28,F,,37:16.5
43,M,,38:10.0
13,M,,38:11.1
59,M,,38:40.0
29,F,,38:42.3
52,F,,39:12.2
30,F,,39:59.2
42,F,,40:03.2
29,F,,40:59.5
36,F,,41:35.1
41,M,,41:36.6
45,F,,44:08.9
11,M,,44:30.5
29,F,,44:37.2
59,M,,44:50.7
62,M,,47:56.0
55,F,,48:17.0
54,F,,48:41.5
49,M,,51:40.2
62,F,,53:04.7
65,M,,53:12.4
15,F,,53:36.3
61,F,,56:44.1
42,M,,57:19.0
66,F,,1:03:03
60,F,,1:03:07
54,F,,1:06:13
