age,gender,split,final
68,M,,1:03:50
48,F,,1:03:51
37,M,,1:03:53
29,F,,1:03:55
29,M,,1:03:55
36,M,,1:04:12
44,F,,1:04:23
32,M,,1:04:29
28,F,,1:04:33
51,M,,1:04:33
50,M,,1:04:34
46,F,,1:04:44
72,M,,1:04:49
65,M,,1:04:50
53,F,,1:04:52
28,F,,1:04:53
52,M,,1:04:59
62,F,,1:05:02
37,F,,1:05:03
54,F,,1:05:27
53,F,,1:05:28
40,M,,1:05:29
29,F,,1:05:36
58,F,,1:05:37
47,M,,1:05:51
40,M,,1:05:53
38,M,,1:05:59
63,F,,1:06:02
45,F,,1:06:04
43,F,,1:06:10
45,F,,1:06:12
57,F,,1:06:16
29,F,,1:06:16
21,M,,1:06:21
34,F,,1:06:22
28,F,,1:06:22
60,M,,1:06:27
32,F,,1:06:38
63,F,,1:06:38
34,F,,1:06:59
30,M,,1:06:59
44,M,,1:07:03
23,M,,1:07:07
33,F,,1:07:09
52,M,,1:07:13
42,M,,1:07:17
35,F,,1:07:19
27,F,,1:07:21
35,F,,1:07:21
48,F,,1:07:23
51,F,,1:07:28
42,M,,1:07:30
24,F,,1:07:42
54,M,,1:07:43
48,M,,1:07:43
26,F,,1:07:44
36,F,,1:07:45
20,F,,1:07:45
45,F,,1:07:53
62,F,,1:07:57
40,F,,1:08:00
53,F,,1:08:02
68,M,,1:08:07
39,M,,1:08:08
26,F,,1:08:08
32,F,,1:08:08
11,F,,1:08:08
40,F,,1:08:17
47,M,,1:08:28
51,F,,1:08:46
46,F,,1:08:46
31,F,,1:08:52
36,M,,1:08:52
8,F,,1:08:52
66,F,,1:08:59
27,M,,1:09:04
42,F,,1:09:10
30,M,,1:09:12
39,F,,1:09:15
36,F,,1:09:17
41,F,,1:09:19
44,F,,1:09:33
16,F,,1:09:33
33,F,,1:09:42
36,F,,1:09:42
52,F,,1:09:45
43,F,,1:09:46
37,F,,1:09:47
12,F,,1:09:50
54,F,,1:09:50
49,F,,1:09:51
51,F,,1:09:51
51,F,,1:09:52
29,F,,1:09:56
33,M,,1:09:56
30,M,,1:09:57
35,F,,1:10:10
41,F,,1:10:10
38,F,,1:10:21
39,F,,1:10:24
50,M,,1:10:26
44,F,,1:10:27
39,F,,1:10:40
61,M,,1:10:44
48,F,,1:10:44
48,M,,1:10:46
30,M,,1:10:58
51,F,,1:11:03
43,F,,1:11:03
42,F,,1:11:03
32,F,,1:11:05
38,F,,1:11:05
55,F,,1:11:07
70,F,,1:11:12
34,F,,1:11:17
47,F,,1:11:26
40,F,,1:11:29
47,M,,1:11:30
51,M,,1:11:31
59,M,,1:11:37
42,M,,1:11:39
70,F,,1:11:49
45,M,,1:11:59
44,M,,1:11:59
34,F,,1:12:01
51,F,,1:12:07
41,F,,1:12:13
56,F,,1:12:14
42,F,,1:12:15
57,F,,1:12:17
48,M,,1:12:28
38,F,,1:12:45
39,F,,1:12:47
35,F,,1:12:48
61,M,,1:12:53
68,M,,1:13:08
73,M,,1:13:09
55,M,,1:13:11
56,F,,1:13:12
37,M,,1:13:14
38,M,,1:13:16
45,F,,1:13:18
30,M,,1:13:19
44,M,,1:13:37
33,M,,1:13:45
30,M,,1:13:52
27,F,,1:13:53
57,M,,1:13:56
32,M,,1:13:59
36,F,,1:13:59
23,F,,1:14:01
42,F,,1:14:13
22,F,,1:14:14
52,M,,1:14:17
16,M,,1:14:36
58,M,,1:14:56
60,M,,1:15:08
48,F,,1:15:09
46,F,,1:15:09
30,M,,1:15:14
54,M,,1:15:15
29,F,,1:15:15
46,M,,1:15:17
11,M,,1:15:28
38,F,,1:15:29
57,F,,1:15:40
48,F,,1:15:44
40,F,,1:15:46
53,F,,1:15:50
15,F,,1:15:52
32,F,,1:15:52
42,F,,1:15:55
53,F,,1:15:57
57,F,,1:16:01
24,F,,1:16:08
52,F,,1:16:15
53,F,,1:16:20
25,M,,1:16:21
8,M,,1:16:24
41,M,,1:16:26
40,M,,1:16:28
16,M,,1:16:29
29,F,,1:16:33
38,M,,1:16:35
36,F,,1:16:43
43,F,,1:16:48
40,M,,1:16:49
26,F,,1:17:12
36,F,,1:17:17
49,M,,1:17:22
29,F,,1:17:24
39,M,,1:17:36
42,F,,1:17:45
41,F,,1:17:50
31,M,,1:18:03
56,F,,1:18:06
54,F,,1:18:07
54,F,,1:18:08
31,M,,1:18:24
41,F,,1:18:26
39,F,,1:18:27
49,M,,1:18:30
22,F,,1:18:34
49,F,,1:18:51
44,F,,1:18:52
42,M,,1:19:10
42,F,,1:19:42
41,F,,1:19:58
41,M,,1:19:58
57,F,,1:19:59
53,F,,1:20:37
21,F,,1:20:56
57,F,,1:21:45
48,M,,1:21:48
60,F,,1:22:01
35,F,,1:22:10
45,F,,1:22:11
41,F,,1:22:12
48,F,,1:22:57
22,M,,1:23:05
68,M,,1:23:37
38,F,,1:23:49
42,M,,1:23:49
30,F,,1:23:55
43,F,,1:24:14
22,F,,1:24:14
40,F,,1:24:20
22,M,,1:24:34
31,F,,1:24:35
65,F,,1:24:43
48,F,,1:25:11
53,M,,1:25:17
46,M,,1:25:18
40,F,,1:26:08
44,F,,1:26:18
45,M,,1:26:18
46,F,,1:26:59
46,F,,1:27:05
61,M,,1:27:28
65,F,,1:27:28
22,F,,1:27:47
49,F,,1:28:34
48,M,,1:28:55
36,F,,1:29:13
67,F,,1:29:36
62,F,,1:29:37
34,F,,1:29:38
45,M,,1:29:49
43,M,,1:29:56
43,F,,1:30:01
43,M,,1:30:26
41,F,,1:30:27
49,F,,1:31:21
61,M,,1:31:59
38,F,,1:32:14
56,F,,1:32:44
36,F,,1:32:47
41,F,,1:32:47
54,F,,1:32:55
43,F,,1:32:57
48,F,,1:32:59
57,F,,1:33:01
65,F,,1:33:03
28,F,,1:33:15
29,F,,1:33:15
31,F,,1:33:40
52,F,,1:33:46
40,F,,1:34:08
51,F,,1:34:08
48,M,,1:34:19
52,F,,1:34:22
69,F,,1:35:21
51,M,,1:35:25
19,M,,1:35:44
56,F,,1:35:55
60,F,,1:35:55
56,F,,1:35:56
60,F,,1:36:21
29,F,,1:36:23
70,F,,1:37:46
77,F,,1:37:46
48,F,,1:38:22
44,M,,1:38:22
45,F,,1:38:32
43,F,,1:39:05
52,F,,1:39:14
65,F,,1:39:23
57,F,,1:39:23
28,F,,1:39:23
64,F,,1:39:37
58,F,,1:39:39
34,F,,1:40:04
29,F,,1:40:42
19,M,,1:41:04
48,F,,1:41:04
32,F,,1:44:40
71,F,,1:46:45
71,F,,1:46:47
63,F,,1:46:59
6,F,,1:47:39
7,M,,1:47:39
33,F,,1:47:39
73,F,,1:49:41
35,M,,1:50:08
41,F,,1:52:20
13,F,,1:52:20
68,M,,1:53:00
37,F,,1:53:01
